Statistics,Benchmark (in-sample),Manual Strategy (in-sample),Benchmark (out-of-sample),Manual Strategy (out-of-sample)
Cumulative return,0.01232493334014717,0.43444250000000495,-0.08357911003280027,-0.18099799999999644
STDEV of daily returns,0.017024612051842244,0.012932703052186158,0.008492174560429592,0.009531030793659034
Mean of daily returns,0.000164419044993637,0.0007979145304614488,-0.00014140853747172613,-0.00035074974895322536
Sharpe ratio,0.15331165345720643,0.9794163245999864,-0.26433641047949885,-0.5841949070813823
