Strategy,cum_ret,std_daily_ret,avg_daily_ret,Sharpe_ratio
Strategy Learner,1.0952780000000115,0.010149287116446493,0.0015171229099022923,2.372933122415492
Manual Strategy,0.43444250000000495,0.012932703052186158,0.0007979145304614488,0.9794163245999864
Benchmark,0.010236207848477452,0.017024589639639123,0.00016032804710936648,0.1494972213083041
